pair_id,version,analyst_claims,refuter_decisions,final_findings,analyst_claim_ids,decision_claim_ids,final_source_claim_ids,traceable_final_claim_ids,unsupported_final_claim_ids,supported_decisions,refuted_decisions,corrected_decisions,uncertain_decisions,analyst_parse_failed,refuter_parse_failed,final_parse_failed
secvuleval::18219::b4cb8320ffe6,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::18219::b4cb8320ffe6,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::11455::844bead51a69,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::11455::844bead51a69,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::18748::3fea4a4d925b,vulnerable,0,1,0,0,1,0,0,0,1,0,0,0,False,False,False
secvuleval::18748::3fea4a4d925b,fixed,0,1,0,0,1,0,0,0,1,0,0,0,False,False,False
secvuleval::11426::3de3ef49d8f0,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::11426::3de3ef49d8f0,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::14943::019747ed7c1d,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::14943::019747ed7c1d,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::10678::34cbd054a25e,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::10678::34cbd054a25e,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::14376::d5e26da1d527,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::14376::d5e26da1d527,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::17484::312c0856cf56,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::17484::312c0856cf56,fixed,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
secvuleval::18494::1660fc139a87,vulnerable,1,1,1,1,1,1,1,0,1,0,0,0,False,False,False
