pair_id,total_outputs,correct_outputs,systems_correct,parse_failures,accuracy
secvuleval::12062::9bbcb48bac5a,6,2,0,0,0.3333333333333333
secvuleval::14657::d1de238ba3ac,6,2,0,0,0.3333333333333333
secvuleval::17484::312c0856cf56,6,2,0,0,0.3333333333333333
secvuleval::18219::b4cb8320ffe6,6,2,0,0,0.3333333333333333
secvuleval::10678::34cbd054a25e,6,3,0,0,0.5
secvuleval::11426::3de3ef49d8f0,6,3,0,0,0.5
secvuleval::11558::15caa2d7c22f,6,3,0,0,0.5
secvuleval::12103::5d37779c2864,6,3,0,0,0.5
secvuleval::14376::d5e26da1d527,6,3,0,0,0.5
secvuleval::14485::13f3cb72582d,6,3,0,0,0.5
secvuleval::14943::019747ed7c1d,6,3,0,0,0.5
secvuleval::15354::9995379f1b42,6,3,0,0,0.5
secvuleval::16259::8da0d4e65e18,6,3,0,0,0.5
secvuleval::16499::6e70f4df9661,6,3,0,0,0.5
secvuleval::18098::c6aebee315c5,6,3,0,0,0.5
secvuleval::18099::185a0e695b6f,6,3,0,0,0.5
secvuleval::18494::1660fc139a87,6,3,1,0,0.5
secvuleval::18504::e32a8cc5a0c0,6,3,0,0,0.5
secvuleval::19769::a327e3515ac1,6,3,0,0,0.5
secvuleval::6627::6363df3ea843,6,3,0,0,0.5
secvuleval::6700::8c36a5b0fb7c,6,3,0,0,0.5
secvuleval::6754::d8ecbc753639,6,3,0,0,0.5
secvuleval::6922::5af57658cd6f,6,3,0,0,0.5
secvuleval::8084::ef88b4a8c879,6,3,0,0,0.5
secvuleval::11455::844bead51a69,6,4,1,0,0.6666666666666666
secvuleval::12255::df553e632a53,6,4,1,0,0.6666666666666666
secvuleval::18748::3fea4a4d925b,6,4,1,0,0.6666666666666666
secvuleval::6718::bd652884ca87,6,4,1,0,0.6666666666666666
secvuleval::9186::ad4483f76579,6,4,1,0,0.6666666666666666
