metric,first,second,first_only,second_only,discordant,raw_p,holm_adjusted_p
verdict_recovery,self_refine,freeform_mas,14,2,16,0.004180908203125,0.00836181640625
verdict_recovery,self_refine,structured_mas,1,5,6,0.21875,0.21875
verdict_recovery,freeform_mas,structured_mas,1,17,18,0.00014495849609375,0.00043487548828125
verdict_follow,self_refine,freeform_mas,3,8,11,0.2265625,0.453125
verdict_follow,self_refine,structured_mas,3,0,3,0.25,0.453125
verdict_follow,freeform_mas,structured_mas,8,0,8,0.0078125,0.0234375
deletion_finding,self_refine,freeform_mas,9,1,10,0.021484375,0.021484375
deletion_finding,self_refine,structured_mas,0,14,14,0.0001220703125,0.000244140625
deletion_finding,freeform_mas,structured_mas,0,22,22,4.76837158203125e-07,1.430511474609375e-06
deletion_gold_overlap,self_refine,freeform_mas,5,1,6,0.21875,0.21875
deletion_gold_overlap,self_refine,structured_mas,3,10,13,0.09228515625,0.1845703125
deletion_gold_overlap,freeform_mas,structured_mas,0,11,11,0.0009765625,0.0029296875
corruption_cwe787,self_refine,freeform_mas,4,5,9,1.0,1.0
corruption_cwe787,self_refine,structured_mas,2,24,26,1.049041748046875e-05,2.09808349609375e-05
corruption_cwe787,freeform_mas,structured_mas,1,22,23,5.7220458984375e-06,1.71661376953125e-05
corruption_exact_span,self_refine,freeform_mas,2,2,4,1.0,1.0
corruption_exact_span,self_refine,structured_mas,1,8,9,0.0390625,0.1171875
corruption_exact_span,freeform_mas,structured_mas,1,8,9,0.0390625,0.1171875
